model,window_auc,window_auc_std,subject_auc,subject_accuracy,subject_precision,subject_recall,subject_f1,youden_threshold,n_subjects,n_migraine,cm_tn,cm_fp,cm_fn,cm_tp
LogisticRegression,0.4441281883255662,0.1689024995535427,0.5518518518518518,0.6060606060606061,0.55,0.7333333333333333,0.6285714285714286,0.27721690489968637,33,15,9,9,4,11
RandomForest,0.5688762199681754,0.09923813799901846,0.5444444444444445,0.5757575757575758,0.5172413793103449,1.0,0.6818181818181818,0.32580573072712055,33,15,4,14,0,15
ExtraTrees,0.5532508109282789,0.08995736868615112,0.4888888888888889,0.5454545454545454,0.5,1.0,0.6666666666666666,0.35798192367130377,33,15,3,15,0,15
GradientBoosting,0.5538611403667637,0.132992055090217,0.5962962962962963,0.6363636363636364,0.56,0.9333333333333333,0.7,0.28111108242492905,33,15,7,11,1,14
SVM_RBF,0.584514301452446,0.14777395958096873,0.6333333333333333,0.6363636363636364,0.5555555555555556,1.0,0.7142857142857143,0.11602828476575322,33,15,6,12,0,15
KNN,0.5756445901325853,0.14612707170682981,0.6666666666666667,0.696969696969697,0.6923076923076923,0.6,0.6428571428571429,0.36507936507936506,33,15,14,4,6,9
GaussianNB,0.6516599448986886,0.10731228663982102,0.7222222222222222,0.696969696969697,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.29360511121654737,33,15,10,8,2,13
MLP,0.5026283617686638,0.1461352134076229,0.5814814814814815,0.6060606060606061,0.5454545454545454,0.8,0.6486486486486487,0.32055711347601684,33,15,8,10,3,12
