model,window_auc,window_auc_std,subject_auc,subject_accuracy,subject_precision,subject_recall,subject_f1,youden_threshold,n_subjects,n_migraine,cm_tn,cm_fp,cm_fn,cm_tp
LogisticRegression,0.37850683586352163,0.13932086060171223,0.2698412698412699,0.5625,0.0,0.0,0.0,inf,32,14,18,0,14,0
RandomForest,0.4423953329863631,0.055969416559028935,0.35317460317460314,0.46875,0.45161290322580644,1.0,0.6222222222222222,0.25119310631181474,32,14,1,17,0,14
ExtraTrees,0.4311581180872081,0.08341273261728745,0.3055555555555556,0.5625,0.0,0.0,0.0,inf,32,14,18,0,14,0
GradientBoosting,0.3975948589338881,0.057707218736220575,0.373015873015873,0.46875,0.45161290322580644,1.0,0.6222222222222222,0.10573876336792704,32,14,1,17,0,14
SVM_RBF,0.41963300890180444,0.1097028943224649,0.3174603174603175,0.59375,1.0,0.07142857142857142,0.13333333333333333,0.8893762703670546,32,14,18,0,13,1
KNN,0.42521904893817003,0.15896644099641344,0.34523809523809523,0.53125,0.48148148148148145,0.9285714285714286,0.6341463414634146,0.12781954887218047,32,14,4,14,1,13
GaussianNB,0.4775978497489127,0.14315041918688132,0.5277777777777778,0.625,0.6,0.42857142857142855,0.5,0.5599139756888761,32,14,14,4,8,6
MLP,0.4050745872555564,0.10748710560991735,0.38492063492063494,0.46875,0.45161290322580644,1.0,0.6222222222222222,0.10342005245991615,32,14,1,17,0,14
