model,subject_auc,subject_accuracy,subject_precision,subject_recall,subject_f1,n_subjects,n_migraine
LogisticRegression,0.3962962962962963,0.5151515151515151,0.46153846153846156,0.4,0.42857142857142855,33,15
RandomForest,0.45555555555555555,0.5454545454545454,0.5,1.0,0.6666666666666666,33,15
ExtraTrees,0.3814814814814815,0.48484848484848486,0.46875,1.0,0.6382978723404256,33,15
GradientBoosting,0.4666666666666666,0.5757575757575758,0.5454545454545454,0.4,0.46153846153846156,33,15
SVM_RBF,0.4481481481481482,0.5151515151515151,0.4838709677419355,1.0,0.6521739130434783,33,15
KNN,0.4888888888888889,0.6060606060606061,0.5357142857142857,1.0,0.6976744186046512,33,15
GaussianNB,0.6555555555555557,0.696969696969697,0.6086956521739131,0.9333333333333333,0.7368421052631579,33,15
MLP,0.45925925925925926,0.5757575757575758,0.5238095238095238,0.7333333333333333,0.6111111111111112,33,15
