model,fused_AUC,SSAEP_AUC,SSVEP_AUC
LogisticRegression,0.3962962962962963,0.2698412698412699,0.5518518518518518
RandomForest,0.45555555555555555,0.35317460317460314,0.5444444444444445
ExtraTrees,0.3814814814814815,0.3055555555555556,0.4888888888888889
GradientBoosting,0.4666666666666666,0.373015873015873,0.5962962962962963
SVM_RBF,0.4481481481481482,0.3174603174603175,0.6333333333333333
KNN,0.4888888888888889,0.34523809523809523,0.6666666666666667
GaussianNB,0.6555555555555557,0.5277777777777778,0.7222222222222222
MLP,0.45925925925925926,0.38492063492063494,0.5814814814814815
